Event Name,Date,Player1,Player2,Player1 UTR,Player2 UTR,Score
5th Annual Henry Talbert Junior Championships (Level 1),2019-01-20,Eryn Cayetano,Kimmi Hance,11.28,10.46,"6-2, 5-7, 6-3"
5th Annual Henry Talbert Junior Championships (Level 1),2019-01-20,Kimmi Hance,EMILY FOWLER,10.46,0.0,"6-0, 6-1"
5th Annual Henry Talbert Junior Championships (Level 1),2019-01-20,Mika Ikemori,Kate Fakih,9.0,10.43,"6-2, 6-1"
5th Annual Henry Talbert Junior Championships (Level 1),2019-01-20,Kate Fakih,Audrey Harrington,10.43,7.0,"6-2, 6-3"
5th Annual Henry Talbert Junior Championships (Level 1),2019-01-20,Kate Fakih,Stacey Samonte,10.43,8.0,"7-5, 6-4"
5th Annual Henry Talbert Junior Championships (Level 1),2019-01-20,Kimmi Hance,Winta Woldeab,10.46,9.0,"6-1, 6-1"
USTA Florida Level 3 at Seminole Lake Girl's 14s,2019-01-14,Ahmani Guichard,Devyn Dever,9.0,0.0,"6-1, 6-0"
USTA Florida Level 3 at Seminole Lake Girl's 14s,2019-01-14,Ahmani Guichard,Caroline Nicholls,9.0,8.0,"6-2, 7-6"
USTA Florida Level 3 at Seminole Lake Girl's 14s,2019-01-14,Ahmani Guichard,Ada Jane De Alcantara,9.0,0.0,"6-3, 6-2"
USTA Florida Level 3 at Seminole Lake Girl's 14s,2019-01-14,Ahmani Guichard,Kaitlin Quevedo,9.0,11.44,"7-6, 4-6, 7-5"
USTA Florida Level 3 at Seminole Lake Girl's 14s,2019-01-14,Sophie LLEWELLYN,Ahmani Guichard,9.96,9.0,"6-4, 6-0"
"4th Annual Warner Tennis Center ""New Year"" Junior Open (Level 5)",2019-01-06,Samantha Guillory,Mia Jovic,0.0,8.0,"7-5, 6-0"
USTA National Winter Championships,2019-01-03,Elise Wagle,Paige Duncan,10.0,7.0,"6-0, 6-4"
USTA National Winter Championships,2019-01-03,Allie Gretkowski,Elise Wagle,10.0,10.0,"6-2, 6-3"
USTA National Winter Championships,2019-01-03,Karina Miller,Elise Wagle,11.26,10.0,"6-1, 6-2"
USTA National Winter Championships,2019-01-01,Olivia Center,Alex Ackman,9.95,9.0,"7-6(6), 6-4"
USTA National Winter Championships,2019-01-01,Polina Krumkachev,Olivia Center,9.88,9.95,"6-3, 6-2"
USTA National Winter Championships,2019-01-01,Isabelle May,Olivia Center,8.0,9.95,"6-0, 6-2"
USTA National Winter Championships,2019-01-01,Olivia Center,Penelope Wong,9.95,8.0,"6-1, 6-0"
USTA National Winter Championships,2019-01-01,Kinley Vanpelt,Kate Fakih,9.0,10.43,"3-6, 6-3, 6-1"
USTA National Winter Championships,2019-01-01,Kate Fakih,Haylee Conway,10.43,8.0,"6-2, 7-5"
USTA National Winter Championships,2019-01-01,Kate Fakih,Fiona Lee,10.43,8.0,"4-6, 6-2, 1-0(4)"
USTA National Winter Championships,2019-01-01,Kate Fakih,Natalie Untermeyer,10.43,6.0,"6-1, 7-5"
USTA National Winter Championships,2019-01-01,Catherine GOLDMAN,Kate Fakih,8.0,10.43,"7-6(9), 2-6, 1-0(9)"
27th So Cal Christmas Junior Open (Level 5),2018-12-27,Megan Bee,Mia Jovic,0.0,8.0,
57th Junior Orange Bowl International,2018-12-17,Bianca Fernandez,Cindy Zhou,9.66,8.0,"5-7, 6-4, 6-3"
57th Junior Orange Bowl International,2018-12-17,Bianca Fernandez,Dana Baidaulet,9.66,8.67,"1-6, 6-4, 7-5"
57th Junior Orange Bowl International,2018-12-17,Qavia Lopez,Bianca Jolie Fernandez,8.0,9.66,"6-2, 6-3"
57th Junior Orange Bowl International,2018-12-17,Ireland Simme,Bianca Jolie Fernandez,9.0,9.66,
3rd Annual Terry Lynch Junior Open Tournament (Level 4),2018-12-16,Isabella Asenov,Kate Fakih,8.0,10.43,"6-1, 7-5"
3rd Annual Serve It Up Tennis Winter Junior Open (Level 5) **ROUND ROBIN FORMAT**,2018-12-15,Olivia Center,Jade Finestone,9.95,7.0,8-0
3rd Annual Serve It Up Tennis Winter Junior Open (Level 5) **ROUND ROBIN FORMAT**,2018-12-15,Sarai Dorismond,Olivia Center,8.0,9.95,8-7(3)
3rd Annual Serve It Up Tennis Winter Junior Open (Level 5) **ROUND ROBIN FORMAT**,2018-12-15,Olivia Center,Sayuri N Parandian,9.95,8.0,8-3
Lakewood Junior Open (Level 4),2018-12-10,Ellie Gyuro,Mia Jovic,9.0,8.0,
Lakewood Junior Open (Level 4),2018-12-10,Amber Wey,Olivia Center,0.0,9.95,"6-1, 6-3"
Orange Bowl Int'l Tennis Championships,2018-12-08,Elise Wagle,Ava Catanzarite,10.0,10.0,"2-6, 6-2, 6-4"
"2019 Junior Pacific Cup (UTR, non-ranking)",2018-12-08,Kimmi Hance,Jennamarie Gordon,10.46,7.0,"6-1, 6-2"
Orange Bowl,2018-12-08,Saara ORAV,Kimmi Hance,9.0,10.46,"6-3, 6-2"
Orange Bowl,2018-12-08,Kimmi Hance,Jiangxue HAN,10.46,10.65,"6-3, 6-1"
"2019 Junior Pacific Cup (UTR, non-ranking)",2018-12-08,Kimmi Hance,Abigail Desiatnikov,10.46,0.0,"6-4, 6-4"
"2019 Junior Pacific Cup (UTR, non-ranking)",2018-12-08,Kimmi Hance,Michelle Zell,10.46,8.0,"6-3, 6-2"
Orange Bowl Int'l Tennis Championships,2018-12-08,Elise Wagle,Tomi Main,10.0,9.0,"6-4, 6-3"
Orange Bowl Int'l Tennis Championships,2018-12-08,Madison Sieg,Elise Wagle,10.96,10.0,"0-6, 6-0, 6-0"
Eddie Herr International 2018,2018-12-01,Stefanya Shalakhova,Ahmani Guichard,8.0,9.0,"6-3, 6-3"
Eddie Herr International 2018,2018-12-01,Elise Wagle,Yelizaveta Karlova,10.0,8.0,"6-1, 6-2"
Eddie Herr International 2018,2018-12-01,Elise Wagle,Jaleesa Leslie,10.0,7.0,"3-6, 7-6(3), 6-2"
Eddie Herr International 2018,2018-12-01,Elise Wagle,Victoria-Jacynthe Oppel,10.0,9.0,"6-4, 7-5"
Eddie Herr International 2018,2018-12-01,Elise Wagle,Kida Ferrari,10.0,9.0,"7-5, 6-4"
Eddie Herr International 2018,2018-12-01,Elaine Chervinsky,Elise Wagle,10.0,10.0,"6-2, 6-1"
Laguna Niguel Racquet Club Thanksgiving Junior Open (Level 4),2018-11-24,Aditi Patel,Kate Fakih,6.0,10.43,
Rancho Cienega Junior Open (Level 5),2018-11-24,Zoe Reyes,Mia Jovic,0.0,8.0,
Northridge Thanksgiving Junior Open (Level 5),2018-11-24,Mia Jovic,Kai Nikchevich,8.0,0.0,"6-1, 6-1"
Northridge Thanksgiving Junior Open (Level 5),2018-11-24,Daniela Borruel,Mia Jovic,9.0,8.0,"6-2, 6-2"
